Avg_Hosp,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation,Avg_State_Category
1007.0,2,3,1,999.0,825.0,0.0496,0.0481,0.0381,1.0
143.0,2,3,2,198.0,149.0,0.006999999999999999,0.0095,0.0069,1.0
2354.0,2,3,3,3004.0,2857.0,0.11599999999999999,0.1446,0.132,4.0
586.0,2,3,4,705.0,855.0,0.028900000000000002,0.0339,0.0395,1.0
3413.0,2,3,5,2630.0,3228.0,0.16820000000000002,0.1266,0.1491,3.0
76.0,2,3,6,103.0,89.0,0.0037,0.005,0.0040999999999999995,1.0
959.0,2,3,7,1142.0,1174.0,0.0473,0.055,0.0542,2.0
20289.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
52.0,2,1,1,16.0,13.0,0.003,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
3.0,2,1,3,7.0,7.0,0.0002,0.0004,0.0003,1.0
35.0,2,1,4,108.0,152.0,0.002,0.0052,0.006999999999999999,1.0
5.0,2,1,5,2.0,2.0,0.0003,0.0001,0.0001,1.0
2.0,2,1,6,8.0,8.0,0.0001,0.0004,0.0004,1.0
476.0,2,1,7,537.0,585.0,0.0274,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
6373.0,2,2,3,9801.0,10139.0,0.3663,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2,2,6,22.0,19.0,0.0003,0.0011,0.0009,1.0
675.0,2,2,7,1495.0,1545.0,0.0388,0.0719,0.07139999999999999,2.0
1046.0,2,3,1,999.0,825.0,0.0601,0.0481,0.0381,1.0
191.0,2,3,2,198.0,149.0,0.011000000000000001,0.0095,0.0069,1.0
2029.0,2,3,3,3004.0,2857.0,0.1166,0.1446,0.132,4.0
532.0,2,3,4,705.0,855.0,0.030600000000000002,0.0339,0.0395,1.0
4949.0,2,3,5,2630.0,3228.0,0.2845,0.1266,0.1491,3.0
96.0,2,3,6,103.0,89.0,0.0055000000000000005,0.005,0.0040999999999999995,1.0
930.0,2,3,7,1142.0,1174.0,0.0535,0.055,0.0542,2.0
17397.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
